"Month","Passengers","Weekend"
"1949-01",112,11
"1949-02",118,9
"1949-03",132,8
"1949-04",129,9
"1949-05",121,9
"1949-06",135,8
"1949-07",148,11
"1949-08",148,8
"1949-09",136,9
"1949-10",119,11
"1949-11",104,10
"1949-12",118,11
"1950-01",115,10
"1950-02",126,9
"1950-03",141,8
"1950-04",135,10
"1950-05",125,8
"1950-06",149,8
"1950-07",170,11
"1950-08",170,8
"1950-09",158,11
"1950-10",133,10
"1950-11",114,9
"1950-12",140,11
"1951-01",145,9
"1951-02",150,9
"1951-03",178,9
"1951-04",163,9
"1951-05",172,8
"1951-06",178,9
"1951-07",199,10
"1951-08",199,8
"1951-09",184,11
"1951-10",162,9
"1951-11",146,9
"1951-12",166,11
"1952-01",171,9
"1952-02",180,9
"1952-03",193,10
"1952-04",181,8
"1952-05",183,9
"1952-06",218,9
"1952-07",230,9
"1952-08",242,10
"1952-09",209,9
"1952-10",191,8
"1952-11",172,12
"1952-12",194,9
"1953-01",196,11
"1953-02",196,8
"1953-03",236,9
"1953-04",235,8
"1953-05",229,10
"1953-06",243,8
"1953-07",264,9
"1953-08",272,10
"1953-09",237,9
"1953-10",211,10
"1953-11",180,11
"1953-12",201,9
"1954-01",204,11
"1954-02",188,9
"1954-03",235,8
"1954-04",227,8
"1954-05",234,10
"1954-06",264,8
"1954-07",302,10
"1954-08",293,9
"1954-09",259,9
"1954-10",229,11
"1954-11",203,10
"1954-12",229,10
"1955-01",242,10
"1955-02",233,9
"1955-03",267,8
"1955-04",269,9
"1955-05",270,9
"1955-06",315,8
"1955-07",364,11
"1955-08",347,8
"1955-09",312,9
"1955-10",274,11
"1955-11",237,10
"1955-12",278,10
"1956-01",284,10
"1956-02",277,9
"1956-03",317,9
"1956-04",313,9
"1956-05",318,8
"1956-06",374,9
"1956-07",413,10
"1956-08",405,8
"1956-09",355,11
"1956-10",306,9
"1956-11",271,10
"1956-12",306,11
"1957-01",315,9
"1957-02",301,9
"1957-03",356,10
"1957-04",348,8
"1957-05",355,8
"1957-06",422,10
"1957-07",465,9
"1957-08",467,9
"1957-09",404,10
"1957-10",347,8
"1957-11",305,11
"1957-12",336,10
"1958-01",340,9
"1958-02",318,8
"1958-03",362,10
"1958-04",348,8
"1958-05",363,9
"1958-06",435,9
"1958-07",491,9
"1958-08",505,10
"1958-09",404,9
"1958-10",359,8
"1958-11",310,12
"1958-12",337,9
"1959-01",360,10
"1959-02",342,8
"1959-03",406,9
"1959-04",396,8
"1959-05",420,10
"1959-06",472,8
"1959-07",548,9
"1959-08",559,10
"1959-09",463,9
"1959-10",407,10
"1959-11",362,11
"1959-12",405,9
"1960-01",417,11
"1960-02",391,9
"1960-03",419,8
"1960-04",461,9
"1960-05",472,9
"1960-06",535,8
"1960-07",622,11
"1960-08",606,8
"1960-09",508,9
"1960-10",461,11
"1960-11",390,10
"1960-12",432,10